product_id,category,subcategory,season,target_margin
2001,Denim,Jeans,Spring,55
2002,Tops,T-Shirts,All Year,45
2003,Outerwear,Jackets,Winter,50
2004,Workwear,Workwear Basics,All Year,40
2005,Dresses,Skirts-Skirts,Dressy,48
2006,Bottoms,Pants,All Year,42
2007,Outerwear,Blazers,Fall,52
2008,Sportswear,Athleisure,Spring,46
2009,Shoes,Sneakers,All Year,38
2010,Accessories,Belts,All Year,44
2011,Accessories,Scarves,Winter,41
2012,Accessories,Bags,All Year,47
2013,Dresses,Dresses,Spring,43
2014,Workwear,Overalls,Spring,39
2015,Shoes,Boots,Winter,50
